Datetime,Open,Close,High,Low,Volume
1582264800000,304.19,294.07,305.2,290.66,19232331
1582524000000,270.19,273.28,281.8723,268.0,21422873
1582610400000,276.3035,262.05,278.79,257.96,26387442
1582696800000,262.06,267.65,275.45,262.0,18741536
1582783200000,254.9,252.6,267.0,248.89,22660373
1582869600000,242.455,270.07,272.46,241.79,28366882
1583128800000,276.9,276.43,277.59,261.0,22268639
1583215200000,278.6665,265.89,281.07,262.4601,16319828
1583301600000,270.2,284.51,284.89,267.2,14935184
1583388000000,276.5,273.29,283.2,271.5,13508187
1583474400000,266.08,266.04,268.39,258.0,12885307
1583730000000,239.9,245.44,259.4,238.18,15353960
1583816400000,256.54,261.08,261.08,245.99,14516218
1583902800000,255.455,246.47,256.6,242.57,12551693
1583989200000,225.46,216.31,236.119,215.8,20413535
1584075600000,230.5,240.84,241.02,219.61,15870943
1584334800000,212.41,196.4,226.1,194.0,18174303
1584421200000,200.91,217.27,220.86,191.0,20840799
1584507600000,200.095,202.82,209.94,180.6807,21856657
1584594000000,201.96,212.97,216.73,193.39,19137847
1584680400000,219.0,205.75,230.32,205.13,20115854
1584939600000,205.71,212.69,216.48,198.52,16096866
1585026000000,229.0,249.18,252.66,228.05,27541095
1585112400000,253.8,245.62,261.82,243.66,19835767
1585198800000,253.94,257.24,262.22,250.0,17439692
1585285200000,250.0,252.73,263.1177,248.68,15970744
1585544400000,255.36,265.59,265.96,253.59,15056253
1585630800000,267.2,263.6,275.3999,257.75,23749014
1585717200000,255.65,243.07,261.53,241.28,16422828
1585803600000,244.24,255.47,256.0,242.31,16894113
1585890000000,253.96,243.91,255.63,238.39,16580346
1586149200000,255.24,268.4,269.88,252.93,18197062
1586235600000,277.3,259.03,278.25,257.3,19613047
1586322000000,263.41,266.95,267.95,260.6,13561113
1586408400000,272.0,262.95,272.92,260.42,13156195
1586754000000,260.55,269.85,270.2,257.0,9960182
1586840400000,275.0,283.95,285.32,273.8893,13273667
1586926800000,277.2,280.84,284.1671,275.38,9153721
1587013200000,287.08,294.7,299.0,286.55,18640510
1587099600000,298.0,292.32,298.86,286.94,13478049
1587358800000,287.24,287.05,293.5,285.27,11234705
1587445200000,282.31,269.51,284.77,267.11,18378996
1587531600000,277.23,286.15,287.87,275.4,12118228
1587618000000,287.84,284.01,293.1375,283.0,10603988
1587704400000,283.6,289.59,289.67,280.6,8816137
1587963600000,294.99,297.08,303.5,294.0,11984699
1588050000000,303.0,291.36,304.2,291.14,11072603
1588136400000,296.77,298.46,300.58,293.75,9479047
1588222800000,296.2926,292.28,298.46,291.72,9397943
1588309200000,284.35,282.78,288.9,280.8432,8552445
1588568400000,280.88,291.285,291.84,280.88,7938880
1588654800000,295.47,293.74,300.27,291.29,9222391
1588741200000,296.93,297.79,302.0,295.41,8086639
1588827600000,303.38,304.87,307.41,301.323,9343263
1588914000000,307.75,312.5,312.75,306.39,8497678
1589173200000,312.3,322.62,324.5,311.15,11726504
1589259600000,324.94,312.1,326.9,311.71,12326482
1589346000000,316.7,311.2,323.14,303.79,15646252
1589432400000,313.665,321.22,321.44,307.5,15057809
1589518800000,315.59,339.63,340.02,314.96,24691543
1589778000000,350.42,350.01,356.66,347.2201,19410086
1589864400000,351.61,352.22,363.5,350.51,17933049
1589950800000,359.64,358.8,361.72,355.55,14688405
1590037200000,362.06,351.01,362.0962,349.5,19026741
1590123600000,353.01,361.05,363.72,348.53,25969125
1590469200000,366.27,348.71,367.27,346.88,19269476
1590555600000,345.0,341.01,345.31,319.87,29397306
1590642000000,336.49,339.48,350.42,335.17,18403204
1590728400000,342.18,355.02,355.02,339.4,18647994
1590987600000,353.33,352.25,353.63,347.58,9762775
1591074000000,351.85,353.01,353.49,346.32,9783014
1591160400000,352.89,350.78,354.65,348.0,9135972
1591246800000,349.12,350.66,357.73,347.1,10606960
1591333200000,351.78,356.8,359.88,348.3192,12043651
1591592400000,355.09,352.2,355.585,347.43,9693431
1591678800000,352.0,361.84,364.3899,350.05,11712221
1591765200000,366.71,374.67,380.0,366.14,15804537
1591851600000,366.0,351.85,370.45,351.44,14591256
1591938000000,366.5,357.3,367.49,348.1338,14272704
1592197200000,352.61,366.95,367.29,349.75,10000054
1592283600000,369.0,362.74,370.67,353.5501,13392875
1592370000000,364.55,369.44,371.96,362.81,10207641
1592456400000,369.08,368.72,371.3,364.58,6360238
1592542800000,369.7,370.45,377.8,369.0935,13104013
1592802000000,372.0,381.07,381.25,370.932,9961662
1592888400000,382.04,378.0,385.7,376.3,9377685
1592974800000,379.05,369.42,382.2552,365.7802,11234272
