Time,Volume,Day Open,Day Close,Normalized Day Change,Normalized Volume to Moving Average,Normalized Open to Moving Average,Normalized Open (52wk High/Low),Normalized Yesterday Close to Today Open,Past First Derivative,Past Average Normalized Open to Close,Past Second Derivative,Buy
2019-09-10,27899352,0.87,1.01,0.16091954022988508,1.4221680455109234,0.5115560894792317,0.6605153203342619,-0.026774109695866993,0.01465625,0.5909683582504317,0.004086874999999999,1
2019-09-11,39040119,1.06,1.25,0.17924528301886786,1.8895143261194012,0.620543178086379,0.8259052924791087,-0.025701485498703186,0.020915625,0.5892478561188093,0.004655624999999998,0
2019-09-12,30089297,1.25,1.11,-0.11199999999999992,1.409021924485238,0.7258695739211821,0.9912952646239555,-0.04950495049504955,0.028154375000000002,0.578151136554633,0.00924125,0
2019-09-13,18232253,1.1,0.9701,-0.11809090909090919,0.8434901381088248,0.6357232842022864,0.860724233983287,0.0,0.026434375,0.5518378635884151,-0.0071312500000000004,0
2019-09-16,12353307,0.9791,0.943,-0.03687059544479626,0.5701267754084677,0.5645912045516096,0.755483983286908,0.009009009009009016,0.018915624999999995,0.5367261247309135,-0.0052812499999999995,0
2019-09-17,18069901,0.974,0.8866,-0.08973305954825454,0.824776266915092,0.560498494547464,0.7510445682451253,-0.009277394083084227,0.014843749999999996,0.5304082281748391,-0.0017499999999999998,0
2019-09-18,13382087,0.8703,0.8415,-0.03309203722854181,0.6085962710483908,0.5008097264910226,0.6607764623955431,-0.03287380699893958,0.011337499999999997,0.5179816639309709,-0.006124999999999999,0
2019-09-19,14626329,0.8521,0.81,-0.0494073465555685,0.6616568246419746,0.4904895248898585,0.6449338440111421,0.01838484096548623,0.005146874999999993,0.5112782826573385,-0.0012812500000000014,1
2019-09-20,27813062,0.838819,0.95,0.13254468484857876,1.2286178456264505,0.4831077649172339,0.6333730849582173,-0.012596553773024292,0.0007468749999999943,0.5067606203748747,-0.00626875,0
2019-09-23,10460499,0.94,0.9033,-0.03904255319148932,0.46263162219262677,0.5406825513256572,0.7214484679665738,-0.03557901234567892,-0.0028493749999999995,0.5082181087780805,-0.0018012500000000042,0
2019-09-24,10231951,0.9,0.8411,-0.06544444444444451,0.4531857535640386,0.5173934042228925,0.6866295264623956,0.010526315789473694,-0.014584375,0.49565374470067813,-0.014168750000000003,1
2019-09-25,7649684,0.85,0.8838,0.039764705882353,0.3404769917022659,0.4888174597719786,0.6431058495821727,0.0036532713384257384,-0.019340625,0.4865032876519073,0.005068749999999996,0
2019-09-26,6259552,0.8975,0.8584,-0.04356545961002776,0.2804576115056479,0.5158852772377303,0.6844533426183844,-0.01058138152419453,-0.010509374999999996,0.5061242419395283,0.010231249999999999,1
2019-09-27,7242004,0.877,0.9,0.026225769669327274,0.32615990954465346,0.5040410167476578,0.666608635097493,-0.015501244625480803,-0.005193750000000001,0.5163542229086397,-0.0001875000000000006,0
2019-09-30,4916251,0.898,0.8889,-0.01013363028953229,0.22321686540429234,0.5158695191298824,0.6848885793871866,-0.021668219944081954,-0.0026124999999999968,0.5227963432796225,0.0069,0
2019-10-01,8796781,0.91,0.86,-0.05494505494505499,0.40055921016434864,0.522423327774596,0.6953342618384402,0.002222222222222224,0.0023468750000000013,0.5294369920508455,0.0012312499999999993,1
2019-10-02,5517331,0.884,0.89,0.006787330316742088,0.2530032241287354,0.5073897955895924,0.6727019498607243,-0.023737203284958947,0.0033718750000000003,0.5270044605319312,-0.0004937500000000003,1
2019-10-03,6455878,0.8641,0.9439,0.09235042240481424,0.29772810355903057,0.4960233430553543,0.6553795264623955,-0.02790697674418607,-0.000463125,0.5288681916836766,-0.0065737500000000015,0
2019-10-04,4992807,0.94,0.9169,-0.024574468085106275,0.23196943630168954,0.5390078961907553,0.7214484679665738,0.029101123595505655,-0.001103125,0.5260871016043034,0.00728125,1
2019-10-07,9972019,0.9314,1.01,0.08438909168992914,0.46376715518308564,0.5335851219836365,0.7139623955431755,0.004131793622205757,0.0036187500000000004,0.5268660248574535,0.0022375,0
