Time,Previous Trend,Past 10 Days Day Open to Close Slope,Past 10 Days Overall Slope,Past 10 Days Second Derivative,Yesterday Close to Today Open,Open to Moving Average,Open to 52 Wk Average,Volume to Moving Average,Buy
2020-01-31,1,-0.3266666666666222,0.6109374999999998,-0.4043750000000002,1,1,1,1,0
2020-02-03,0,0.9444444444444949,-1.5534374999999998,-0.05187499999999989,1,1,1,1,1
2020-02-04,1,-4.839999999999943,-1.8940625,-2.3956249999999994,0,1,1,1,0
2020-02-05,0,-2.873333333333297,-0.9265624999999995,1.6568749999999999,1,1,1,1,0
2020-02-06,0,-3.264444444444406,-2.2606249999999997,-0.38874999999999993,1,1,1,1,1
2020-02-07,1,-4.897777777777744,-1.5415624999999997,0.5681250000000002,0,1,1,0,1
2020-02-10,1,0.7288888888889081,2.02125,1.4875000000000003,0,1,1,1,1
2020-02-11,1,2.0105555555555585,1.6954687500000003,0.1853125,1,1,1,1,0
2020-02-12,0,4.529444444444455,2.2103125,2.0743750000000003,1,1,1,1,1
2020-02-13,1,4.368333333333339,4.093125000000001,-1.21,0,1,1,0,1
2020-02-14,1,2.881666666666686,4.1828125,2.365625,1,1,1,0,1
2020-02-18,1,7.156111111111134,2.4731250000000005,-1.0975000000000004,0,1,1,0,1
2020-02-19,1,5.295000000000048,4.1674999999999995,0.8299999999999998,1,1,1,0,0
2020-02-20,0,6.87055555555561,3.8787500000000006,1.4162499999999993,0,1,1,0,0
2020-02-21,0,8.562777777777809,3.87875,-1.6450000000000005,0,1,1,1,0
2020-02-24,0,5.67277777777781,2.7970312500000007,-0.8590624999999996,0,1,1,1,0
2020-02-25,0,2.023333333333388,0.06718750000000018,-3.2843750000000003,1,1,1,1,0
2020-02-26,0,-1.823333333333292,-5.6381250000000005,0.0012499999999997513,1,1,1,1,0
2020-02-27,0,-6.431111111111073,-6.7865625000000005,-2.965625,0,1,1,1,0
2020-02-28,0,-7.239999999999984,-7.435625,-0.4937499999999998,0,0,1,1,1
2020-03-02,1,-12.526666666666667,-11.224062499999999,-3.024375,1,1,1,1,1
2020-03-03,1,-5.777777777777778,-13.131874999999999,3.74,1,1,1,1,0
2020-03-04,0,-2.4633333333333667,-9.82375,2.32875,1,1,1,1,1
2020-03-05,1,-8.866666666666687,-9.393749999999999,-3.62125,0,1,1,1,0
2020-03-06,0,-6.126666666666703,-7.733750000000001,2.7350000000000008,0,0,1,1,1
2020-03-09,1,-7.201111111111156,-5.70625,-1.7249999999999996,0,0,0,1,1
2020-03-10,1,-3.9811111111111535,-7.8634375,4.404375000000001,1,0,0,1,1
2020-03-11,1,2.186666666666623,-11.396875,0.9587500000000002,0,0,0,1,0
2020-03-12,0,4.996666666666619,-4.516562499999999,4.060625,0,0,0,1,0
2020-03-13,0,5.754444444444415,-4.8246875,-6.394374999999998,1,0,0,1,1
2020-03-16,1,-2.691111111111139,-15.735624999999999,-2.8749999999999982,0,0,0,1,0
2020-03-17,0,-2.2077777777777907,-10.816875,6.202500000000001,1,0,0,1,1
2020-03-18,1,2.608888888888891,-18.060937499999998,-2.453125000000001,0,0,0,1,1
2020-03-19,1,3.139999999999999,-14.112812499999999,3.6381250000000005,0,0,0,1,1
2020-03-20,1,10.033333333333328,-12.954999999999998,0.3412500000000005,1,0,0,1,0
2020-03-23,0,9.773333333333337,-6.901875,0.7887499999999994,0,0,0,1,0
2020-03-24,0,1.6044444444444506,-10.326562499999998,-5.216875,1,0,0,1,1
2020-03-25,1,-0.9533333333333,-10.895937499999997,2.1956250000000006,0,0,0,1,0
2020-03-26,0,6.091111111111129,-0.005625000000000213,2.318750000000001,1,0,0,1,1
2020-03-27,1,4.770000000000007,-5.095625,-3.8899999999999997,0,0,0,1,0
2020-03-30,0,5.761111111111126,3.5946874999999996,4.050625,1,0,0,1,1
2020-03-31,1,5.694444444444445,0.9071875,-2.7893749999999997,1,0,0,1,1
2020-04-01,1,4.166666666666667,3.994375,-1.0987499999999994,0,0,0,1,0
2020-04-02,0,2.163333333333336,3.4621875,-0.6393749999999996,0,0,0,1,1
2020-04-03,1,-2.8755555555555676,0.8434375000000001,2.5493749999999986,0,0,0,1,0
2020-04-06,0,5.982222222222213,3.329062500000001,1.204375,1,0,0,1,1
2020-04-07,1,3.7855555555555234,-0.8306250000000002,-3.0025000000000004,1,0,0,1,0
2020-04-08,0,6.469999999999977,2.8121875,4.5718749999999995,1,0,0,1,1
2020-04-09,1,5.193333333333309,3.8103125,-5.165625,1,0,0,1,0
2020-04-13,0,0.27111111111109193,5.3865625,1.3193750000000004,0,0,0,1,1
2020-04-14,1,0.893333333333304,4.55625,-1.58,1,0,0,1,1
2020-04-15,1,0.3644444444444414,3.1634375000000006,-0.2693749999999999,0,0,0,1,1
2020-04-16,1,1.7018333333333229,8.721984375000002,2.9472812500000005,1,1,0,1,0
2020-04-17,0,5.334055555555551,8.961875000000001,-0.3899999999999999,1,1,1,1,0
2020-04-20,0,2.362944444444439,9.91125,0.7687500000000007,0,1,1,0,0
2020-04-21,0,4.508499999999988,7.640937499999999,-3.3056249999999996,0,0,0,1,0
2020-04-22,0,-2.039277777777796,4.1084375,1.6068749999999992,1,0,0,1,1
2020-04-23,1,-1.6059444444444528,1.3990624999999997,-2.1531249999999997,1,1,0,0,1
2020-04-24,1,-0.11705555555555394,2.3365624999999994,1.8068750000000002,0,0,0,1,1
2020-04-27,1,1.7762777777778007,3.9062499999999996,-0.2175000000000001,1,1,1,1,0
2020-04-28,0,3.1862777777777813,0.8248906249999997,-0.22853125000000007,1,1,1,1,0
2020-04-29,0,-1.968888888888892,1.8453124999999997,-1.9956250000000002,1,1,1,1,0
2020-04-30,0,-8.791111111111125,-0.27437500000000015,-2.5562500000000004,0,1,1,1,1
2020-05-01,1,-8.025555555555558,3.9524999999999997,-0.007499999999999396,0,1,1,1,0
2020-05-04,0,-6.021111111111092,4.594375,1.5050000000000001,0,1,1,0,1
2020-05-05,1,-5.8022222222222,5.829375000000001,1.4862499999999998,1,1,1,1,1
2020-05-06,1,-0.7666666666666515,4.1096875,-0.15812499999999963,1,1,1,0,0
2020-05-07,0,-1.408888888888896,4.6753124999999995,0.3806249999999999,1,1,1,0,1
2020-05-08,1,-3.408888888888896,5.3696874999999995,-2.135625,1,1,1,0,1
2020-05-11,1,-4.923333333333328,5.241562500000001,1.8193750000000002,0,1,1,0,1
2020-05-12,1,-2.294444444444429,7.824062499999999,3.3206249999999997,1,1,1,0,0
2020-05-13,0,6.306666666666691,2.9125,1.8512499999999996,1,1,1,1,0
2020-05-14,0,2.94888888888891,3.291875,-3.02375,0,1,1,1,1
2020-05-15,1,-1.84777777777779,2.5962500000000013,-1.31625,0,1,1,1,1
2020-05-18,1,1.4977777777777546,1.8546875000000003,0.5356250000000002,0,1,1,1,1
2020-05-19,1,2.612222222222196,1.0874999999999997,0.8300000000000001,1,1,1,0,0
2020-05-20,0,3.9544444444444355,1.3540624999999997,2.260625,1,1,1,1,1
2020-05-21,1,4.119999999999992,0.9153125,-1.1906250000000003,1,1,1,0,0
2020-05-22,0,5.4566666666666555,1.0049999999999997,1.0924999999999996,0,1,1,0,1
2020-05-26,1,4.705555555555545,1.1674999999999995,-1.9400000000000008,1,1,1,1,0
2020-05-27,0,2.7655555555555416,1.0543749999999992,2.6487499999999997,0,1,1,0,1
2020-05-28,1,4.148888888888854,4.338749999999999,0.4524999999999988,0,1,1,0,1
2020-05-29,1,7.272222222222202,4.684374999999999,-1.441250000000001,1,1,1,1,1
2020-06-01,1,6.705555555555545,3.028749999999999,-0.4100000000000006,0,1,1,0,1
2020-06-02,1,5.40444444444443,3.349687499999999,-0.6568750000000004,1,1,1,0,1
2020-06-03,1,3.8011111111110645,3.146562499999999,1.265625,1,1,1,0,0
2020-06-04,0,5.844444444444384,2.4684375000000003,-0.7931250000000001,0,1,1,0,0
2020-06-05,0,3.238888888888823,2.0065625000000002,0.04937500000000028,1,1,1,1,1
2020-06-08,1,1.2122222222221555,1.060625,-1.9887500000000005,0,1,1,0,1
2020-06-09,1,2.8833333333332627,-0.23968749999999983,2.810625,0,1,1,0,1
2020-06-10,1,7.5888888888888335,1.06375,1.3425000000000002,1,1,1,0,1
2020-06-11,1,8.317777777777716,2.47125,-0.7124999999999997,0,1,1,1,0
2020-06-12,0,6.645555555555499,2.258125,-0.6187499999999998,1,1,1,1,0
2020-06-15,0,0.843333333333299,-0.5512499999999996,-3.01875,0,1,1,0,1
2020-06-16,1,-1.6133333333333313,-1.2040625,-1.2656249999999996,1,1,1,0,0
2020-06-17,0,1.0466666666666748,-2.24125,2.16875,1,1,1,0,0
2020-06-18,9.169999999999845,3.161388888888888,5.780999999999972,-0.8016666666666672,1,1,1,0,1
2020-06-19,9.169999999999845,3.161388888888888,5.780999999999972,-0.8016666666666672,1,1,1,1,1
